----------------------------------------------------------------------------------
dim_{Spin} = 2 ,
dim_{Lat} = 2 ,
N = ( 128 x 128 ) ,
T = 0.000000000000e+00 ,
delta_T = 5.000000000000e-02 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
sigma_h = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
<h_i> = ( -1.735472241790e-03 , 1.800892134882e-03 ) ,
order = ( -1.000000000000e+00 , 0.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 128000 ,
Averaging-MCS = 12800 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-03 ,
delta_{phi} = 1.000000000000e-04 ,
==================================================================================
h[0]	h[0]	h[1]	<m[0]>	<m[1]>	
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------
Updating all sites simultaneously.. 
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------

order = ({-1.000000-->1.000000,0.000000}, 0, 0)
----------------------------------------------------------------------------------
-9.390000000000e-01	-9.390000000000e-01	0.000000000000e+00	-9.497652203489e-01	-3.908203720999e-05	
-9.380000000000e-01	-9.380000000000e-01	0.000000000000e+00	-9.497036305885e-01	-1.177684878237e-05	
-9.370000000000e-01	-9.370000000000e-01	0.000000000000e+00	-9.496368653692e-01	2.889514929484e-05	
-9.360000000000e-01	-9.360000000000e-01	0.000000000000e+00	-9.495652903977e-01	7.706415366424e-05	
-9.350000000000e-01	-9.350000000000e-01	0.000000000000e+00	-9.494973284317e-01	1.105186688431e-04	
-9.340000000000e-01	-9.340000000000e-01	0.000000000000e+00	-9.494356852009e-01	1.269635564531e-04	
-9.330000000000e-01	-9.330000000000e-01	0.000000000000e+00	-9.493764595789e-01	1.372316365110e-04	
-9.320000000000e-01	-9.320000000000e-01	0.000000000000e+00	-9.493179450551e-01	1.454979388242e-04	
-9.310000000000e-01	-9.310000000000e-01	0.000000000000e+00	-9.492594800547e-01	1.532961873141e-04	
-9.300000000000e-01	-9.300000000000e-01	0.000000000000e+00	-9.492011014171e-01	1.605692547243e-04	
-9.290000000000e-01	-9.290000000000e-01	0.000000000000e+00	-9.491427131365e-01	1.675412741019e-04	
-9.280000000000e-01	-9.280000000000e-01	0.000000000000e+00	-9.490843369386e-01	1.741783446332e-04	
-9.270000000000e-01	-9.270000000000e-01	0.000000000000e+00	-9.490258888542e-01	1.806655355151e-04	
-9.260000000000e-01	-9.260000000000e-01	0.000000000000e+00	-9.489674283476e-01	1.868862538108e-04	
-9.250000000000e-01	-9.250000000000e-01	0.000000000000e+00	-9.489089368406e-01	1.928860676335e-04	
-9.240000000000e-01	-9.240000000000e-01	0.000000000000e+00	-9.488503823320e-01	1.987353825666e-04	
-9.230000000000e-01	-9.230000000000e-01	0.000000000000e+00	-9.487917531023e-01	2.044615284251e-04	
