----------------------------------------------------------------------------------
dim_{Spin} = 2 ,
dim_{Lat} = 2 ,
N = ( 16 x 16 ) ,
T = 0.000000000000e+00 ,
delta_T = 5.000000000000e-02 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 , 2.000000000000e-01 ) ,
sigma_h = ( 5.000000000000e-01 , 0.000000000000e+00 ) ,
<h_i> = ( -2.934241470612e-02 , 0.000000000000e+00 ) ,
order = ( 0.000000000000e+00 , 1.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 128000 ,
Averaging-MCS = 12800 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-03 ,
delta_{phi} = 1.000000000000e-04 ,
==================================================================================
phi(h[:])	h[0]	h[1]	<m[0]>	<m[1]>	
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------
Updating all (first)black/(then)white checkerboard sites simultaneously..
----------------------------------------------------------------------------------
1.012500000000e-03	-1.272336442426e-03	1.999959528590e-01	-1.121401366982e-01	9.607945356120e-01	
1.025000000000e-03	-1.288044083892e-03	1.999958523131e-01	-1.121936114634e-01	9.607883320936e-01	
1.037500000000e-03	-1.303751717413e-03	1.999957505335e-01	-1.122470858756e-01	9.607821256804e-01	
1.050000000000e-03	-1.319459342891e-03	1.999956475202e-01	-1.123005599348e-01	9.607759163725e-01	
1.062500000000e-03	-1.335166960230e-03	1.999955432733e-01	-1.123540336410e-01	9.607697041699e-01	
1.075000000000e-03	-1.350874569334e-03	1.999954377927e-01	-1.124075069942e-01	9.607634890726e-01	
1.087500000000e-03	-1.366582170104e-03	1.999953310784e-01	-1.124609799942e-01	9.607572710805e-01	
1.100000000000e-03	-1.382289762445e-03	1.999952231305e-01	-1.125144526412e-01	9.607510501937e-01	
1.112500000000e-03	-1.397997346259e-03	1.999951139489e-01	-1.125679249351e-01	9.607448264122e-01	
1.125000000000e-03	-1.413704921449e-03	1.999950035336e-01	-1.126213968759e-01	9.607385997361e-01	
1.137500000000e-03	-1.429412487919e-03	1.999948918846e-01	-1.126748684635e-01	9.607323701652e-01	
1.150000000000e-03	-1.445120045572e-03	1.999947790020e-01	-1.127283396979e-01	9.607261376996e-01	
1.162500000000e-03	-1.460827594310e-03	1.999946648857e-01	-1.127818105791e-01	9.607199023394e-01	
1.175000000000e-03	-1.476535134038e-03	1.999945495357e-01	-1.128352811070e-01	9.607136640844e-01	
1.187500000000e-03	-1.492242664657e-03	1.999944329521e-01	-1.128887512818e-01	9.607074229348e-01	
1.200000000000e-03	-1.507950186071e-03	1.999943151348e-01	-1.129422211032e-01	9.607011788906e-01	
----- Checkpointed here. -----
----------------------------------------------------------------------------------
Updating all (first)black/(then)white checkerboard sites simultaneously..
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------
Updating all (first)black/(then)white checkerboard sites simultaneously..
----------------------------------------------------------------------------------
1.300000000000e-03	-1.633610014383e-03	1.999933281845e-01	-1.133699669539e-01	9.606511223293e-01	
1.300010000000e-03	-1.633622580335e-03	1.999933280819e-01	-1.133700097274e-01	9.606511173144e-01	
1.300030000000e-03	-1.633647712238e-03	1.999933278766e-01	-1.133700952743e-01	9.606511072846e-01	
1.300070000000e-03	-1.633697976043e-03	1.999933274660e-01	-1.133702663681e-01	9.606510872248e-01	
1.300150000000e-03	-1.633798503654e-03	1.999933266448e-01	-1.133706085557e-01	9.606510471053e-01	
1.300310000000e-03	-1.633999558874e-03	1.999933250022e-01	-1.133712929309e-01	9.606509668659e-01	
1.300630000000e-03	-1.634401669309e-03	1.999933217165e-01	-1.133726616811e-01	9.606508063858e-01	
1.301270000000e-03	-1.635205890161e-03	1.999933151425e-01	-1.133753991807e-01	9.606504854197e-01	
1.302550000000e-03	-1.636814331784e-03	1.999933019849e-01	-1.133808741773e-01	9.606498434648e-01	
1.305110000000e-03	-1.640031214712e-03	1.999932756310e-01	-1.133918241594e-01	9.606485594639e-01	
1.310230000000e-03	-1.646464979294e-03	1.999932227679e-01	-1.134137240791e-01	9.606459910979e-01	
1.320470000000e-03	-1.659332503341e-03	1.999931164206e-01	-1.134575237405e-01	9.606408529090e-01	
1.340950000000e-03	-1.685067530773e-03	1.999929012426e-01	-1.135451223515e-01	9.606305707036e-01	
1.361430000000e-03	-1.710802530304e-03	1.999926827529e-01	-1.136327200134e-01	9.606202807281e-01	
1.381910000000e-03	-1.736537501506e-03	1.999924609517e-01	-1.137203167261e-01	9.606099829825e-01	
1.402390000000e-03	-1.762272443954e-03	1.999922358389e-01	-1.138079124895e-01	9.605996774669e-01	
1.422870000000e-03	-1.788007357222e-03	1.999920074145e-01	-1.138955073035e-01	9.605893641812e-01	
1.443350000000e-03	-1.813742240883e-03	1.999917756786e-01	-1.139831011680e-01	9.605790431255e-01	
1.463830000000e-03	-1.839477094511e-03	1.999915406311e-01	-1.140706940829e-01	9.605687142999e-01	
1.484310000000e-03	-1.865211917680e-03	1.999913022721e-01	-1.141582860480e-01	9.605583777042e-01	
1.504790000000e-03	-1.890946709964e-03	1.999910606016e-01	-1.142458770633e-01	9.605480333387e-01	
1.525270000000e-03	-1.916681470937e-03	1.999908156195e-01	-1.143334671287e-01	9.605376812032e-01	
1.545750000000e-03	-1.942416200173e-03	1.999905673258e-01	-1.144210562441e-01	9.605273212979e-01	
1.566230000000e-03	-1.968150897246e-03	1.999903157207e-01	-1.145086444093e-01	9.605169536226e-01	
1.586710000000e-03	-1.993885561729e-03	1.999900608039e-01	-1.145962316243e-01	9.605065781776e-01	
1.607190000000e-03	-2.019620193196e-03	1.999898025757e-01	-1.146838178889e-01	9.604961949627e-01	
1.627670000000e-03	-2.045354791221e-03	1.999895410360e-01	-1.147714032031e-01	9.604858039780e-01	
1.648150000000e-03	-2.071089355379e-03	1.999892761847e-01	-1.148589875667e-01	9.604754052236e-01	
1.668630000000e-03	-2.096823885242e-03	1.999890080219e-01	-1.149465709796e-01	9.604649986994e-01	
1.689110000000e-03	-2.122558380386e-03	1.999887365476e-01	-1.150341534418e-01	9.604545844055e-01	
1.709590000000e-03	-2.148292840383e-03	1.999884617619e-01	-1.151217349531e-01	9.604441623419e-01	
1.730070000000e-03	-2.174027264808e-03	1.999881836646e-01	-1.152093155135e-01	9.604337325087e-01	
1.750550000000e-03	-2.199761653234e-03	1.999879022558e-01	-1.152968951228e-01	9.604232949058e-01	
1.771030000000e-03	-2.225496005235e-03	1.999876175355e-01	-1.153844737808e-01	9.604128495332e-01	
1.791510000000e-03	-2.251230320386e-03	1.999873295038e-01	-1.154720514876e-01	9.604023963911e-01	
1.811990000000e-03	-2.276964598260e-03	1.999870381605e-01	-1.155596282430e-01	9.603919354793e-01	
1.832470000000e-03	-2.302698838431e-03	1.999867435058e-01	-1.156472040470e-01	9.603814667980e-01	
1.852950000000e-03	-2.328433040473e-03	1.999864455396e-01	-1.157347788993e-01	9.603709903472e-01	
1.873430000000e-03	-2.354167203959e-03	1.999861442620e-01	-1.158223527999e-01	9.603605061268e-01	
1.893910000000e-03	-2.379901328464e-03	1.999858396729e-01	-1.159099257487e-01	9.603500141370e-01	
1.914390000000e-03	-2.405635413562e-03	1.999855317723e-01	-1.159974977455e-01	9.603395143777e-01	
1.934870000000e-03	-2.431369458826e-03	1.999852205603e-01	-1.160850687904e-01	9.603290068489e-01	
1.955350000000e-03	-2.457103463831e-03	1.999849060369e-01	-1.161726388831e-01	9.603184915507e-01	
1.975830000000e-03	-2.482837428149e-03	1.999845882020e-01	-1.162602080236e-01	9.603079684831e-01	
1.996310000000e-03	-2.508571351356e-03	1.999842670556e-01	-1.163477762118e-01	9.602974376461e-01	
2.016790000000e-03	-2.534305233025e-03	1.999839425979e-01	-1.164353434475e-01	9.602868990397e-01	
2.037270000000e-03	-2.560039072729e-03	1.999836148287e-01	-1.165229097307e-01	9.602763526640e-01	
2.057750000000e-03	-2.585772870043e-03	1.999832837481e-01	-1.166104750612e-01	9.602657985190e-01	
2.078230000000e-03	-2.611506624541e-03	1.999829493561e-01	-1.166980394390e-01	9.602552366046e-01	
2.098710000000e-03	-2.637240335796e-03	1.999826116526e-01	-1.167856028639e-01	9.602446669210e-01	
2.119190000000e-03	-2.662974003383e-03	1.999822706378e-01	-1.168731653358e-01	9.602340894681e-01	
2.139670000000e-03	-2.688707626875e-03	1.999819263116e-01	-1.169607268547e-01	9.602235042460e-01	
2.160150000000e-03	-2.714441205846e-03	1.999815786740e-01	-1.170482874204e-01	9.602129112546e-01	
2.180630000000e-03	-2.740174739870e-03	1.999812277250e-01	-1.171358470328e-01	9.602023104940e-01	
2.201110000000e-03	-2.765908228522e-03	1.999808734646e-01	-1.172234056918e-01	9.601917019643e-01	
2.221590000000e-03	-2.791641671374e-03	1.999805158929e-01	-1.173109633974e-01	9.601810856654e-01	
2.242070000000e-03	-2.817375068000e-03	1.999801550098e-01	-1.173985201493e-01	9.601704615973e-01	
----- Checkpointed here. -----
----------------------------------------------------------------------------------
Updating all (first)black/(then)white checkerboard sites simultaneously..
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------
Updating all (first)black/(then)white checkerboard sites simultaneously..
----------------------------------------------------------------------------------
