----------------------------------------------------------------------------------
dim_{Spin} = 2 ,
dim_{Lat} = 2 ,
N = ( 64 x 64 ) ,
T = 0.000000000000e+00 ,
delta_T = 5.000000000000e-02 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 , 4.000000000000e-02 ) ,
sigma_h = ( 5.000000000000e-01 , 0.000000000000e+00 ) ,
<h_i> = ( -3.261196732474e-03 , 0.000000000000e+00 ) ,
order = ( 0.000000000000e+00 , 1.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 128000 ,
Averaging-MCS = 12800 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-03 ,
delta_{phi} = 1.000000000000e-04 ,
==================================================================================
phi(h[:])	h[0]	h[1]	<m[0]>	<m[1]>	<E>	
----------------------------------------------------------------------------------

Updating all (first)black/(then)white checkerboard sites simultaneously..
----------------------------------------------------------------------------------
2.350000000000e-03	-5.905979580111e-04	3.999563968800e-02	-2.127655726457e-02	9.321282702105e-01	-2.092106479617e+00	
2.403125000000e-03	-6.039482381922e-04	3.999544032169e-02	-2.137509767567e-02	9.321266632629e-01	-2.092106578488e+00	
2.406250000000e-03	-6.047335467100e-04	3.999542845548e-02	-2.138089417747e-02	9.321265683832e-01	-2.092106584215e+00	
2.425000000000e-03	-6.094453929105e-04	3.999535693444e-02	-2.141567320462e-02	9.321259982805e-01	-2.092106618374e+00	
2.450000000000e-03	-6.157278413421e-04	3.999526070956e-02	-2.146204528417e-02	9.321252359450e-01	-2.092106663369e+00	
2.503125000000e-03	-6.290779936224e-04	3.999505295506e-02	-2.156058611640e-02	9.321236076388e-01	-2.092106756895e+00	
2.506250000000e-03	-6.298632945295e-04	3.999504059543e-02	-2.156638264280e-02	9.321235115027e-01	-2.092106762308e+00	
2.525000000000e-03	-6.345750948619e-04	3.999496611386e-02	-2.160116181718e-02	9.321229338617e-01	-2.092106794581e+00	
2.550000000000e-03	-6.408574815935e-04	3.999486594162e-02	-2.164753409196e-02	9.321221614750e-01	-2.092106837060e+00	
2.603125000000e-03	-6.542075007027e-04	3.999464979902e-02	-2.174607533507e-02	9.321205118102e-01	-2.092106925242e+00	
