----------------------------------------------------------------------------------
dim_{Spin} = 1 ,
dim_{Lat} = 3 ,
N = ( 16 x 16 x 16 ) ,
T = 1.000000000000e+00 ,
delta_T = 1.000000000000e-01 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 ) ,
sigma_h = ( 2.000000000000e+00 ) ,
<h_i> = ( -3.102112359020e-03 ) ,
order = ( 1.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 0 ,
Averaging-MCS = 11 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-02 ,
==================================================================================
step	<|m|>	<m[0]>	<E>	
86	9.889914772727e-01	9.889914772727e-01	-2.991496393669e+00	
87	9.853959517045e-01	9.853959517045e-01	-2.988376152951e+00	
88	9.896129261364e-01	9.896129261364e-01	-2.992969535072e+00	
89	9.870827414773e-01	9.870827414773e-01	-2.992637203991e+00	
90	9.883256392045e-01	9.883256392045e-01	-2.991800596656e+00	
91	9.893909801136e-01	9.893909801136e-01	-2.989723076688e+00	
92	9.858398437500e-01	9.858398437500e-01	-2.987737882499e+00	
93	9.876154119318e-01	9.876154119318e-01	-2.989658356755e+00	
94	9.882368607955e-01	9.882368607955e-01	-2.990741077251e+00	
95	9.890802556818e-01	9.890802556818e-01	-2.989522474430e+00	
96	9.895241477273e-01	9.895241477273e-01	-2.989916219424e+00	
97	9.890358664773e-01	9.890358664773e-01	-2.989823662265e+00	
98	9.889026988636e-01	9.889026988636e-01	-2.990213386238e+00	
99	9.884588068182e-01	9.884588068182e-01	-2.990037221677e+00	
100	9.895685369318e-01	9.895685369318e-01	-2.992875379775e+00	
101	9.887251420455e-01	9.887251420455e-01	-2.990108743333e+00	
102	9.874378551136e-01	9.874378551136e-01	-2.992160526979e+00	
103	9.865056818182e-01	9.865056818182e-01	-2.991022332299e+00	
104	9.837535511364e-01	9.837535511364e-01	-2.988080744321e+00	
105	9.869939630682e-01	9.869939630682e-01	-2.989985671934e+00	
106	9.890802556818e-01	9.890802556818e-01	-2.989831687185e+00	
107	9.837535511364e-01	9.837535511364e-01	-2.986902292398e+00	
108	9.861949573864e-01	9.861949573864e-01	-2.989506449132e+00	
109	9.882368607955e-01	9.882368607955e-01	-2.991266927163e+00	
110	9.889026988636e-01	9.889026988636e-01	-2.991197863152e+00	
111	9.883700284091e-01	9.883700284091e-01	-2.992460648339e+00	
112	9.888583096591e-01	9.888583096591e-01	-2.991978603451e+00	
113	9.888583096591e-01	9.888583096591e-01	-2.992942180078e+00	
114	9.872602982955e-01	9.872602982955e-01	-2.993063019800e+00	
115	9.865500710227e-01	9.865500710227e-01	-2.991770579492e+00	
116	9.859730113636e-01	9.859730113636e-01	-2.992005965525e+00	
117	9.859730113636e-01	9.859730113636e-01	-2.990973089850e+00	
118	9.877041903409e-01	9.877041903409e-01	-2.988685465751e+00	
119	9.914328835227e-01	9.914328835227e-01	-2.991420546336e+00	
120	9.893465909091e-01	9.893465909091e-01	-2.987678673232e+00	
121	9.868607954545e-01	9.868607954545e-01	-2.990891530420e+00	
122	9.878373579545e-01	9.878373579545e-01	-2.990161508899e+00	
123	9.866388494318e-01	9.866388494318e-01	-2.990650534460e+00	
124	9.845969460227e-01	9.845969460227e-01	-2.989167204840e+00	
125	9.865056818182e-01	9.865056818182e-01	-2.990490670424e+00	
126	9.885031960227e-01	9.885031960227e-01	-2.991628792763e+00	
127	9.885475852273e-01	9.885475852273e-01	-2.992601281893e+00	
128	9.891246448864e-01	9.891246448864e-01	-2.993026276055e+00	
129	9.876154119318e-01	9.876154119318e-01	-2.992690045873e+00	
130	9.859286221591e-01	9.859286221591e-01	-2.990543620705e+00	
131	9.871715198864e-01	9.871715198864e-01	-2.990607709833e+00	
132	9.877929687500e-01	9.877929687500e-01	-2.989439144899e+00	
133	9.884144176136e-01	9.884144176136e-01	-2.992344273840e+00	
134	9.887695312500e-01	9.887695312500e-01	-2.992159831042e+00	
135	9.863281250000e-01	9.863281250000e-01	-2.990963242423e+00	
136	9.858842329545e-01	9.858842329545e-01	-2.988800248118e+00	
137	9.884588068182e-01	9.884588068182e-01	-2.991523653357e+00	
138	9.866832386364e-01	9.866832386364e-01	-2.991738249963e+00	
139	9.893909801136e-01	9.893909801136e-01	-2.991534715743e+00	
140	9.887251420455e-01	9.887251420455e-01	-2.991680812793e+00	
141	9.883256392045e-01	9.883256392045e-01	-2.991029626781e+00	
142	9.865944602273e-01	9.865944602273e-01	-2.990443330273e+00	
143	9.836203835227e-01	9.836203835227e-01	-2.988292185680e+00	
144	9.839311079545e-01	9.839311079545e-01	-2.989640314708e+00	
145	9.843306107955e-01	9.843306107955e-01	-2.989786892833e+00	
146	9.833984375000e-01	9.833984375000e-01	-2.985287567885e+00	
147	9.867720170455e-01	9.867720170455e-01	-2.989680482255e+00	
148	9.884588068182e-01	9.884588068182e-01	-2.990653968660e+00	
149	9.882812500000e-01	9.882812500000e-01	-2.988258318465e+00	
150	9.894353693182e-01	9.894353693182e-01	-2.990269628339e+00	
151	9.858842329545e-01	9.858842329545e-01	-2.989751003962e+00	
152	9.860174005682e-01	9.860174005682e-01	-2.988767405635e+00	
153	9.851296164773e-01	9.851296164773e-01	-2.988634935695e+00	
154	9.872159090909e-01	9.872159090909e-01	-2.990606902227e+00	
155	9.889026988636e-01	9.889026988636e-01	-2.992112519678e+00	
156	9.858842329545e-01	9.858842329545e-01	-2.990722131488e+00	
157	9.834872159091e-01	9.834872159091e-01	-2.987407956780e+00	
158	9.851296164773e-01	9.851296164773e-01	-2.989225284022e+00	
159	9.894353693182e-01	9.894353693182e-01	-2.992259818255e+00	
160	9.881924715909e-01	9.881924715909e-01	-2.991659615341e+00	
161	9.838423295455e-01	9.838423295455e-01	-2.991290180002e+00	
162	9.857510653409e-01	9.857510653409e-01	-2.989282617154e+00	
163	9.879705255682e-01	9.879705255682e-01	-2.989964222879e+00	
164	9.871271306818e-01	9.871271306818e-01	-2.992501222886e+00	
165	9.849964488636e-01	9.849964488636e-01	-2.991201828359e+00	
166	9.883256392045e-01	9.883256392045e-01	-2.990673183620e+00	
167	9.872602982955e-01	9.872602982955e-01	-2.991699714854e+00	
168	9.882368607955e-01	9.882368607955e-01	-2.991227719115e+00	
169	9.866832386364e-01	9.866832386364e-01	-2.989503725446e+00	
170	9.893909801136e-01	9.893909801136e-01	-2.992376190858e+00	
171	9.884588068182e-01	9.884588068182e-01	-2.993215500366e+00	
172	9.853515625000e-01	9.853515625000e-01	-2.990343984121e+00	
173	9.847745028409e-01	9.847745028409e-01	-2.989062982506e+00	
174	9.861061789773e-01	9.861061789773e-01	-2.989902232881e+00	
175	9.857954545455e-01	9.857954545455e-01	-2.990032290872e+00	
176	9.884588068182e-01	9.884588068182e-01	-2.992227972494e+00	
177	9.899236505682e-01	9.899236505682e-01	-2.993549150591e+00	
178	9.887695312500e-01	9.887695312500e-01	-2.990441947005e+00	
179	9.865500710227e-01	9.865500710227e-01	-2.989720496433e+00	
180	9.883700284091e-01	9.883700284091e-01	-2.991597182940e+00	
181	9.870827414773e-01	9.870827414773e-01	-2.991669945783e+00	
182	9.867720170455e-01	9.867720170455e-01	-2.991656949865e+00	
183	9.866832386364e-01	9.866832386364e-01	-2.989722142752e+00	
184	9.893022017045e-01	9.893022017045e-01	-2.991841236069e+00	
185	9.862393465909e-01	9.862393465909e-01	-2.991271348422e+00	
186	9.845969460227e-01	9.845969460227e-01	-2.989007604494e+00	
187	9.879705255682e-01	9.879705255682e-01	-2.989377883802e+00	
188	9.861505681818e-01	9.861505681818e-01	-2.991695971901e+00	
189	9.877929687500e-01	9.877929687500e-01	-2.991838552106e+00	
190	9.853515625000e-01	9.853515625000e-01	-2.989958168603e+00	
191	9.821999289773e-01	9.821999289773e-01	-2.990017434076e+00	
192	9.833984375000e-01	9.833984375000e-01	-2.989898582235e+00	
193	9.854847301136e-01	9.854847301136e-01	-2.988759337734e+00	
194	9.869051846591e-01	9.869051846591e-01	-2.990426043820e+00	
195	9.866388494318e-01	9.866388494318e-01	-2.989149735794e+00	
196	9.903675426136e-01	9.903675426136e-01	-2.991197833711e+00	
197	9.874378551136e-01	9.874378551136e-01	-2.990270502192e+00	
198	9.868164062500e-01	9.868164062500e-01	-2.990077728469e+00	
199	9.881480823864e-01	9.881480823864e-01	-2.991500139670e+00	
