----------------------------------------------------------------------------------
dim_{Spin} = 1 ,
dim_{Lat} = 3 ,
N = ( 16 x 16 x 16 ) ,
T = 1.000000000000e+00 ,
delta_T = 1.000000000000e-01 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 ) ,
sigma_h = ( 2.000000000000e+00 ) ,
<h_i> = ( -3.102112359020e-03 ) ,
order = ( 1.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 0 ,
Averaging-MCS = 128 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-02 ,
==================================================================================
step	<|m|>	<m[0]>	<E>	
114	9.873428344727e-01	9.873428344727e-01	-2.990350801040e+00	
115	9.869003295898e-01	9.869003295898e-01	-2.990040314930e+00	
116	9.867553710938e-01	9.867553710938e-01	-2.990320281858e+00	
117	9.860343933105e-01	9.860343933105e-01	-2.990423464528e+00	
118	9.875411987305e-01	9.875411987305e-01	-2.990609718282e+00	
119	9.878578186035e-01	9.878578186035e-01	-2.991165785480e+00	
120	9.882164001465e-01	9.882164001465e-01	-2.990755386553e+00	
121	9.876441955566e-01	9.876441955566e-01	-2.990690256901e+00	
122	9.872703552246e-01	9.872703552246e-01	-2.990910499109e+00	
123	9.870223999023e-01	9.870223999023e-01	-2.990060151933e+00	
124	9.871711730957e-01	9.871711730957e-01	-2.990797803238e+00	
125	9.873619079590e-01	9.873619079590e-01	-2.991122683116e+00	
126	9.861717224121e-01	9.861717224121e-01	-2.988988170955e+00	
127	9.863815307617e-01	9.863815307617e-01	-2.990414502042e+00	
128	9.870223999023e-01	9.870223999023e-01	-2.990780803056e+00	
129	9.874534606934e-01	9.874534606934e-01	-2.991492630350e+00	
130	9.875373840332e-01	9.875373840332e-01	-2.990531629452e+00	
131	9.865188598633e-01	9.865188598633e-01	-2.990336561860e+00	
132	9.873886108398e-01	9.873886108398e-01	-2.990428014024e+00	
133	9.869728088379e-01	9.869728088379e-01	-2.990955032997e+00	
134	9.873809814453e-01	9.873809814453e-01	-2.989503939203e+00	
135	9.877395629883e-01	9.877395629883e-01	-2.991397817133e+00	
136	9.874610900879e-01	9.874610900879e-01	-2.991130261365e+00	
137	9.876708984375e-01	9.876708984375e-01	-2.991458280688e+00	
138	9.878311157227e-01	9.878311157227e-01	-2.991467004497e+00	
139	9.873237609863e-01	9.873237609863e-01	-2.990770358560e+00	
140	9.867057800293e-01	9.867057800293e-01	-2.990990606359e+00	
141	9.880142211914e-01	9.880142211914e-01	-2.990960860159e+00	
142	9.866828918457e-01	9.866828918457e-01	-2.990176666475e+00	
143	9.871902465820e-01	9.871902465820e-01	-2.990845583657e+00	
144	9.874649047852e-01	9.874649047852e-01	-2.990649925201e+00	
145	9.866905212402e-01	9.866905212402e-01	-2.990887975475e+00	
146	9.879035949707e-01	9.879035949707e-01	-2.990816180970e+00	
147	9.876861572266e-01	9.876861572266e-01	-2.990612312110e+00	
148	9.863128662109e-01	9.863128662109e-01	-2.989946869411e+00	
149	9.875984191895e-01	9.875984191895e-01	-2.991637423272e+00	
150	9.871902465820e-01	9.871902465820e-01	-2.990359051491e+00	
151	9.873199462891e-01	9.873199462891e-01	-2.990920990869e+00	
152	9.872360229492e-01	9.872360229492e-01	-2.989308411412e+00	
153	9.874229431152e-01	9.874229431152e-01	-2.990499982163e+00	
154	9.867820739746e-01	9.867820739746e-01	-2.990839042361e+00	
155	9.864883422852e-01	9.864883422852e-01	-2.990115517175e+00	
156	9.875259399414e-01	9.875259399414e-01	-2.990931653799e+00	
157	9.887580871582e-01	9.887580871582e-01	-2.990850145840e+00	
158	9.873123168945e-01	9.873123168945e-01	-2.990925967961e+00	
159	9.879379272461e-01	9.879379272461e-01	-2.990930089604e+00	
160	9.858665466309e-01	9.858665466309e-01	-2.990069187781e+00	
161	9.873695373535e-01	9.873695373535e-01	-2.990272669006e+00	
162	9.868049621582e-01	9.868049621582e-01	-2.989720071297e+00	
163	9.872703552246e-01	9.872703552246e-01	-2.989748369476e+00	
164	9.876670837402e-01	9.876670837402e-01	-2.990730165486e+00	
165	9.877471923828e-01	9.877471923828e-01	-2.991419666896e+00	
166	9.879646301270e-01	9.879646301270e-01	-2.991854477764e+00	
167	9.879951477051e-01	9.879951477051e-01	-2.990841103326e+00	
168	9.871025085449e-01	9.871025085449e-01	-2.990647645751e+00	
169	9.875679016113e-01	9.875679016113e-01	-2.990800634578e+00	
170	9.863319396973e-01	9.863319396973e-01	-2.989977866324e+00	
171	9.875068664551e-01	9.875068664551e-01	-2.990947773025e+00	
172	9.867286682129e-01	9.867286682129e-01	-2.990271600453e+00	
173	9.882888793945e-01	9.882888793945e-01	-2.991013274672e+00	
174	9.873542785645e-01	9.873542785645e-01	-2.990788376254e+00	
175	9.872131347656e-01	9.872131347656e-01	-2.990437031377e+00	
176	9.874496459961e-01	9.874496459961e-01	-2.990771311374e+00	
177	9.875907897949e-01	9.875907897949e-01	-2.991025964576e+00	
178	9.864959716797e-01	9.864959716797e-01	-2.990038719603e+00	
179	9.859657287598e-01	9.859657287598e-01	-2.990622640932e+00	
180	9.873428344727e-01	9.873428344727e-01	-2.991483078121e+00	
181	9.868698120117e-01	9.868698120117e-01	-2.990267397254e+00	
182	9.855957031250e-01	9.855957031250e-01	-2.989881061025e+00	
183	9.873771667480e-01	9.873771667480e-01	-2.990981217797e+00	
184	9.877243041992e-01	9.877243041992e-01	-2.990295676696e+00	
185	9.879570007324e-01	9.879570007324e-01	-2.990931472324e+00	
186	9.887542724609e-01	9.887542724609e-01	-2.990568726927e+00	
187	9.879570007324e-01	9.879570007324e-01	-2.990960869819e+00	
188	9.878120422363e-01	9.878120422363e-01	-2.990960254119e+00	
189	9.879646301270e-01	9.879646301270e-01	-2.991130480013e+00	
190	9.869232177734e-01	9.869232177734e-01	-2.989990708924e+00	
191	9.868469238281e-01	9.868469238281e-01	-2.989991935038e+00	
192	9.868202209473e-01	9.868202209473e-01	-2.990907234468e+00	
193	9.882926940918e-01	9.882926940918e-01	-2.990503003905e+00	
194	9.871864318848e-01	9.871864318848e-01	-2.990956186330e+00	
195	9.867744445801e-01	9.867744445801e-01	-2.990884278588e+00	
196	9.870376586914e-01	9.870376586914e-01	-2.989912772865e+00	
197	9.868850708008e-01	9.868850708008e-01	-2.990543164970e+00	
198	9.874992370605e-01	9.874992370605e-01	-2.990484164223e+00	
199	9.879455566406e-01	9.879455566406e-01	-2.990869356221e+00	
