----------------------------------------------------------------------------------
dim_{Spin} = 2 ,
dim_{Lat} = 2 ,
N = ( 64 x 64 ) ,
T = 0.000000000000e+00 ,
delta_T = 5.000000000000e-02 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 , 4.000000000000e-02 ) ,
sigma_h = ( 5.000000000000e-01 , 0.000000000000e+00 ) ,
<h_i> = ( -3.261196732474e-03 , 0.000000000000e+00 ) ,
order = ( 0.000000000000e+00 , 1.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 128000 ,
Averaging-MCS = 12800 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-03 ,
delta_{phi} = 1.000000000000e-04 ,
==================================================================================
phi(h[:])	h[0]	h[1]	<m[0]>	<m[1]>	<E>	
----------------------------------------------------------------------------------

Updating all (first)black/(then)white checkerboard sites simultaneously..
----------------------------------------------------------------------------------
7.700000000000e-03	-1.934466208908e-03	3.995319562296e-02	-3.120080872433e-02	9.319094786933e-01	-2.092102181423e+00	
7.800000000000e-03	-1.959569158579e-03	3.995197227563e-02	-3.138631185553e-02	9.319042937621e-01	-2.092101826938e+00	
7.900000000000e-03	-1.984671334643e-03	3.995073315589e-02	-3.157181474432e-02	9.318990686407e-01	-2.092101462393e+00	
8.000000000000e-03	-2.009772727191e-03	3.994947826424e-02	-3.175731737143e-02	9.318938033294e-01	-2.092101087789e+00	
8.100000000000e-03	-2.034873326312e-03	3.994820760117e-02	-3.194281971761e-02	9.318884978287e-01	-2.092100703125e+00	
8.200000000000e-03	-2.059973122097e-03	3.994692116717e-02	-3.212832176359e-02	9.318831521392e-01	-2.092100308401e+00	
8.300000000000e-03	-2.085072104638e-03	3.994561896277e-02	-3.231382349012e-02	9.318777662614e-01	-2.092099903619e+00	
8.400000000000e-03	-2.110170264025e-03	3.994430098846e-02	-3.249932487793e-02	9.318723401957e-01	-2.092099488777e+00	
8.500000000000e-03	-2.135267590350e-03	3.994296724478e-02	-3.268482590778e-02	9.318668739426e-01	-2.092099063875e+00	
8.600000000000e-03	-2.160364073706e-03	3.994161773225e-02	-3.287032656040e-02	9.318613675027e-01	-2.092098628915e+00	
8.700000000000e-03	-2.185459704184e-03	3.994025245140e-02	-3.305582681652e-02	9.318558208765e-01	-2.092098183896e+00	
8.800000000000e-03	-2.210554471877e-03	3.993887140277e-02	-3.324132665691e-02	9.318502340646e-01	-2.092097728817e+00	
8.900000000000e-03	-2.235648366878e-03	3.993747458690e-02	-3.342682606228e-02	9.318446070674e-01	-2.092097263680e+00	
9.000000000000e-03	-2.260741379281e-03	3.993606200436e-02	-3.361232501339e-02	9.318389398856e-01	-2.092096788483e+00	
9.100000000000e-03	-2.285833499179e-03	3.993463365569e-02	-3.379782349099e-02	9.318332325197e-01	-2.092096303228e+00	
9.200000000000e-03	-2.310924716666e-03	3.993318954146e-02	-3.398332147580e-02	9.318274849702e-01	-2.092095807914e+00	
9.300000000000e-03	-2.336015021836e-03	3.993172966223e-02	-3.416881894857e-02	9.318216972377e-01	-2.092095302542e+00	
9.400000000000e-03	-2.361104404785e-03	3.993025401860e-02	-3.435431589004e-02	9.318158693228e-01	-2.092094787111e+00	
9.500000000000e-03	-2.386192855607e-03	3.992876261113e-02	-3.453981228095e-02	9.318100012262e-01	-2.092094261622e+00	
9.600000000000e-03	-2.411280364398e-03	3.992725544042e-02	-3.472530810205e-02	9.318040929483e-01	-2.092093726074e+00	
9.700000000000e-03	-2.436366921253e-03	3.992573250706e-02	-3.491080333407e-02	9.317981444898e-01	-2.092093180468e+00	
9.800000000000e-03	-2.461452516270e-03	3.992419381165e-02	-3.509629795776e-02	9.317921558514e-01	-2.092092624804e+00	
9.900000000000e-03	-2.486537139544e-03	3.992263935480e-02	-3.528179195386e-02	9.317861270335e-01	-2.092092059082e+00	
1.000000000000e-02	-2.511620781173e-03	3.992106913713e-02	-3.546728530310e-02	9.317800580369e-01	-2.092091483302e+00	
1.010000000000e-02	-2.536703431253e-03	3.991948315925e-02	-3.565277798624e-02	9.317739488622e-01	-2.092090897464e+00	
1.020000000000e-02	-2.561785079883e-03	3.991788142180e-02	-3.583826998400e-02	9.317677995101e-01	-2.092090301569e+00	
1.030000000000e-02	-2.586865717161e-03	3.991626392539e-02	-3.602376127714e-02	9.317616099811e-01	-2.092089695615e+00	
1.040000000000e-02	-2.611945333185e-03	3.991463067068e-02	-3.620925184638e-02	9.317553802759e-01	-2.092089079604e+00	
1.050000000000e-02	-2.637023918055e-03	3.991298165830e-02	-3.639474167248e-02	9.317491103953e-01	-2.092088453536e+00	
1.060000000000e-02	-2.662101461870e-03	3.991131688891e-02	-3.658023073618e-02	9.317428003398e-01	-2.092087817411e+00	
1.070000000000e-02	-2.687177954728e-03	3.990963636316e-02	-3.676571901820e-02	9.317364501102e-01	-2.092087171228e+00	
1.080000000000e-02	-2.712253386732e-03	3.990794008172e-02	-3.695120649930e-02	9.317300597071e-01	-2.092086514988e+00	
1.090000000000e-02	-2.737327747981e-03	3.990622804526e-02	-3.713669316021e-02	9.317236291312e-01	-2.092085848691e+00	
1.100000000000e-02	-2.762401028576e-03	3.990450025445e-02	-3.732217898167e-02	9.317171583833e-01	-2.092085172337e+00	
1.110000000000e-02	-2.787473218619e-03	3.990275670998e-02	-3.750766394443e-02	9.317106474641e-01	-2.092084485926e+00	
