----------------------------------------------------------------------------------
dim_{Spin} = 2 ,
dim_{Lat} = 2 ,
N = ( 128 x 128 ) ,
T = 0.000000000000e+00 ,
delta_T = 5.000000000000e-02 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
sigma_h = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
<h_i> = ( -1.735472241790e-03 , 1.800892134882e-03 ) ,
order = ( -1.000000000000e+00 , 0.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 128000 ,
Averaging-MCS = 12800 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-03 ,
delta_{phi} = 1.000000000000e-04 ,
==================================================================================
h[0]	h[0]	h[1]	<m[0]>	<m[1]>	
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------
Updating all sites simultaneously.. 
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------

order = ({-1.000000-->1.000000,0.000000}, 0, 0)
----------------------------------------------------------------------------------
-9.800000000000e-01	-9.800000000000e-01	0.000000000000e+00	-9.519390397686e-01	-2.279750526963e-04	
-9.790000000000e-01	-9.790000000000e-01	0.000000000000e+00	-9.518885758211e-01	-2.257673718569e-04	
-9.780000000000e-01	-9.780000000000e-01	0.000000000000e+00	-9.518380081111e-01	-2.235300651307e-04	
-9.770000000000e-01	-9.770000000000e-01	0.000000000000e+00	-9.517873361463e-01	-2.212619531039e-04	
-9.760000000000e-01	-9.760000000000e-01	0.000000000000e+00	-9.517365594156e-01	-2.189617630302e-04	
-9.750000000000e-01	-9.750000000000e-01	0.000000000000e+00	-9.516856773875e-01	-2.166281188491e-04	
-9.740000000000e-01	-9.740000000000e-01	0.000000000000e+00	-9.516346895073e-01	-2.142595298051e-04	
-9.730000000000e-01	-9.730000000000e-01	0.000000000000e+00	-9.515835951951e-01	-2.118543774217e-04	
-9.720000000000e-01	-9.720000000000e-01	0.000000000000e+00	-9.515323938424e-01	-2.094109005353e-04	
-9.710000000000e-01	-9.710000000000e-01	0.000000000000e+00	-9.514810848088e-01	-2.069271780239e-04	
-9.700000000000e-01	-9.700000000000e-01	0.000000000000e+00	-9.514296674177e-01	-2.044011087897e-04	
-9.690000000000e-01	-9.690000000000e-01	0.000000000000e+00	-9.513781409521e-01	-2.018303884464e-04	
-9.680000000000e-01	-9.680000000000e-01	0.000000000000e+00	-9.513265046487e-01	-1.992124820313e-04	
-9.670000000000e-01	-9.670000000000e-01	0.000000000000e+00	-9.512747576913e-01	-1.965445918901e-04	
-9.660000000000e-01	-9.660000000000e-01	0.000000000000e+00	-9.512228992032e-01	-1.938236196615e-04	
-9.650000000000e-01	-9.650000000000e-01	0.000000000000e+00	-9.511709282377e-01	-1.910461209948e-04	
-9.640000000000e-01	-9.640000000000e-01	0.000000000000e+00	-9.511188437671e-01	-1.882082512492e-04	
-9.630000000000e-01	-9.630000000000e-01	0.000000000000e+00	-9.510666446686e-01	-1.853056999029e-04	
-9.620000000000e-01	-9.620000000000e-01	0.000000000000e+00	-9.510143297081e-01	-1.823336107007e-04	
-9.610000000000e-01	-9.610000000000e-01	0.000000000000e+00	-9.509618975192e-01	-1.792864836039e-04	
-9.600000000000e-01	-9.600000000000e-01	0.000000000000e+00	-9.509093465778e-01	-1.761580532653e-04	
-9.590000000000e-01	-9.590000000000e-01	0.000000000000e+00	-9.508566751693e-01	-1.729411368620e-04	
-9.580000000000e-01	-9.580000000000e-01	0.000000000000e+00	-9.508038813476e-01	-1.696274414000e-04	
-9.570000000000e-01	-9.570000000000e-01	0.000000000000e+00	-9.507509628819e-01	-1.662073166369e-04	
-9.560000000000e-01	-9.560000000000e-01	0.000000000000e+00	-9.506979171869e-01	-1.626694338499e-04	
-9.550000000000e-01	-9.550000000000e-01	0.000000000000e+00	-9.506447412301e-01	-1.590003616606e-04	
-9.540000000000e-01	-9.540000000000e-01	0.000000000000e+00	-9.505914314069e-01	-1.551839960349e-04	
